step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
16500,-176.58050537109375,-243.94313049316406,455.0,385.91845703125,-103.37588500976562,-116.6246566772461,301.9423828125
16600,-108.34693145751953,-78.13172912597656,373.0,385.91845703125,-103.62443542480469,-114.70001220703125,305.4952697753906
16700,-232.87753295898438,-224.02389526367188,435.0,385.91845703125,-110.08709716796875,-120.16620635986328,311.9704895019531
16800,18.899702072143555,25.225507736206055,92.0,396.7040100097656,-103.10892486572266,-110.32714080810547,304.0608825683594
16900,-52.36549377441406,-43.7524528503418,125.0,400.6161804199219,-105.76705169677734,-112.63995361328125,301.56494140625
17000,-195.40103149414062,-227.04078674316406,438.0,400.6161804199219,-110.24874877929688,-118.35999298095703,308.3866882324219
17100,-146.0199432373047,-144.4800262451172,206.0,402.0426025390625,-88.24580383300781,-90.69525146484375,295.2705383300781
17200,-33.77806854248047,7.786368370056152,323.0,402.5654296875,-72.08882904052734,-71.69387817382812,276.1546936035156
17300,-527.2534790039062,-627.0028686523438,449.0,402.5654296875,-94.84706115722656,-99.4593276977539,284.7969665527344
17400,-537.113037109375,-698.7764892578125,505.0,402.7580261230469,-116.96035766601562,-129.42518615722656,295.80712890625
17500,6.754811763763428,72.65673065185547,290.0,402.7580261230469,-110.77460479736328,-119.32109069824219,295.5167541503906
17600,126.95122528076172,169.46420288085938,233.0,422.5415344238281,-98.88831329345703,-104.88182830810547,292.39093017578125
17700,42.19093704223633,80.69364166259766,290.0,429.8992919921875,-113.5009536743164,-122.6316146850586,301.18280029296875
17800,105.41500091552734,170.5987548828125,240.0,429.8992919921875,-102.5551528930664,-107.9700927734375,298.1236572265625
17900,-213.72459411621094,-234.4051971435547,244.0,429.8992919921875,-106.5363540649414,-112.914794921875,291.8957824707031
18000,-168.21932983398438,-233.02984619140625,443.0,429.8992919921875,-109.6205062866211,-118.92054748535156,299.45098876953125
18100,47.079566955566406,52.19163513183594,85.0,439.9187927246094,-88.50135040283203,-93.76675415039062,284.57452392578125
18200,-180.5784912109375,-271.7815856933594,483.0,439.9187927246094,-93.10520935058594,-102.66749572753906,294.49578857421875
18300,341.3717041015625,375.2255859375,115.0,451.78515625,-73.04513549804688,-79.7019271850586,283.3922119140625
18400,-58.32648849487305,-66.6087875366211,156.0,451.78515625,-84.85106658935547,-92.85362243652344,278.00146484375
18500,-135.53945922851562,-244.86224365234375,472.0,451.78515625,-87.38549041748047,-100.45405578613281,287.7013854980469
18600,-27.58149528503418,-18.68764305114746,124.0,453.0225524902344,-88.5896987915039,-98.38984680175781,285.135498046875
18700,-563.3124389648438,-727.693603515625,534.0,453.4970703125,-112.32583618164062,-129.85504150390625,297.5787353515625
18800,-509.2648010253906,-630.060791015625,436.0,453.4970703125,-132.1727752685547,-154.86532592773438,304.4997863769531
18900,170.64146423339844,207.4781036376953,211.0,453.678955078125,-101.8127670288086,-118.25074005126953,295.6210632324219
19000,101.09620666503906,107.07685089111328,42.0,453.678955078125,-80.06088256835938,-91.9860610961914,279.20550537109375
19100,-159.3733673095703,-233.97999572753906,445.0,453.678955078125,-84.0265121459961,-99.08575439453125,287.4952392578125
19200,-78.83842468261719,-108.12874603271484,370.0,453.7489318847656,-83.76710510253906,-99.53790283203125,291.6204833984375
19300,-151.87673950195312,-214.05380249023438,425.0,453.7489318847656,-87.1725845336914,-105.26370239257812,298.2894592285156
19400,225.22601318359375,264.3482971191406,170.0,453.7489318847656,-71.41410064697266,-83.26315307617188,294.71124267578125
19500,90.27120971679688,95.1087875366211,54.0,453.7489318847656,-66.01617431640625,-77.92164611816406,282.336669921875
