step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
17800,94.60133361816406,135.6785125732422,263.0,339.2730712890625,-136.19093322753906,-154.36370849609375,315.36639404296875
17900,-95.2245864868164,-88.59977722167969,166.0,341.643798828125,-149.2344512939453,-170.67630004882812,312.7256774902344
18000,-528.2981567382812,-654.9490356445312,461.0,341.643798828125,-168.18763732910156,-194.8899383544922,320.139404296875
18100,-24.865158081054688,30.819307327270508,320.0,341.643798828125,-161.02151489257812,-183.60447692871094,320.1324157714844
18200,-514.6787109375,-697.7236328125,504.0,370.5886535644531,-178.70437622070312,-209.31044006347656,329.3258056640625
18300,-187.80966186523438,-287.8183288574219,499.0,370.5886535644531,-179.15963745117188,-213.23583984375,337.80950927734375
18400,-93.87997436523438,-91.64669799804688,157.0,370.5886535644531,-175.2479248046875,-206.9103240966797,332.6255798339844
18500,-196.09214782714844,-253.75865173339844,481.0,370.5886535644531,-176.29013061523438,-209.25274658203125,340.0443115234375
18600,-192.37013244628906,-198.4949951171875,220.0,370.5886535644531,-164.73805236816406,-193.61619567871094,330.66748046875
18700,-124.00711822509766,-147.9232635498047,419.0,370.5886535644531,-158.2682647705078,-185.24839782714844,327.1199035644531
18800,-203.73733520507812,-204.08477783203125,415.0,392.6472473144531,-160.54171752929688,-186.19021606445312,331.513916015625
18900,-181.19357299804688,-290.720703125,502.0,401.20086669921875,-161.57431030273438,-191.416748046875,340.0382080078125
19000,-139.49404907226562,-134.06182861328125,401.0,404.5229187011719,-160.4702911376953,-188.5489959716797,343.0863037109375
19100,19.99595069885254,29.26445198059082,100.0,404.5229187011719,-148.38221740722656,-178.11117553710938,334.0628967285156
19200,99.39958190917969,103.1008071899414,50.0,405.811279296875,-130.9944305419922,-156.53878784179688,321.04425048828125
19300,-125.17625427246094,-205.10472106933594,416.0,405.811279296875,-130.70352172851562,-158.9670867919922,325.79205322265625
19400,14.822851181030273,18.201641082763672,99.0,411.451171875,-119.07725524902344,-141.90650939941406,313.6548156738281
19500,-18.31897735595703,-45.348243713378906,315.0,411.451171875,-114.03934478759766,-137.07859802246094,313.7220764160156
19600,-179.5269012451172,-219.87234497070312,455.0,411.451171875,-117.313720703125,-141.21829223632812,320.7859802246094
19700,-121.04156494140625,-144.35415649414062,355.0,411.451171875,-117.50011444091797,-141.3750762939453,322.4966735839844
19800,-169.01651000976562,-232.98895263671875,444.0,411.451171875,-120.07593536376953,-145.95578002929688,328.57183837890625
19900,-586.0908203125,-728.5969848632812,535.0,413.6601867675781,-143.37667846679688,-175.08782958984375,338.89324951171875
20000,304.8617248535156,345.279541015625,141.0,417.8770446777344,-118.24637603759766,-148.0151824951172,333.2311706542969
20100,-110.87417602539062,-75.07982635498047,386.0,417.8770446777344,-117.87776184082031,-144.368408203125,335.8695983886719
20200,-195.7670135498047,-184.01300048828125,423.0,420.96649169921875,-121.77222442626953,-146.3506317138672,340.22613525390625
20300,-30.193317413330078,-22.673688888549805,128.0,427.64141845703125,-122.17655181884766,-145.46246337890625,335.7315673828125
20400,43.91238021850586,48.19755554199219,81.0,430.3052673339844,-78.6435546875,-95.17823028564453,305.9103698730469
20500,-2.6738903522491455,2.267488718032837,115.0,430.3052673339844,-77.50159454345703,-95.38680267333984,301.45159912109375
20600,-10.81173038482666,-16.656694412231445,134.0,430.3052673339844,-64.21765899658203,-77.7086410522461,282.4209289550781
20700,-268.8292236328125,-250.85235595703125,466.0,430.3052673339844,-74.44823455810547,-86.36582946777344,291.5998840332031
20800,203.8628387451172,228.46310424804688,202.0,434.4202575683594,-53.04962921142578,-61.423011779785156,269.1592102050781
20900,14.889528274536133,17.263490676879883,108.0,434.4202575683594,-49.652671813964844,-57.48868942260742,261.10125732421875
21000,10.755315780639648,63.737430572509766,291.0,434.4202575683594,-52.33571243286133,-58.81322479248047,270.3338623046875
21100,-219.2576446533203,-259.90411376953125,471.0,434.4202575683594,-60.68180847167969,-68.86776733398438,280.3671875
21200,92.59957122802734,133.56292724609375,257.0,436.0843811035156,-48.01401138305664,-51.0751953125,279.03887939453125
21300,-125.47293853759766,-229.00494384765625,440.0,436.7659606933594,-51.88695526123047,-59.9716796875,287.0869445800781
21400,-7.0820631980896,-16.39719009399414,294.0,436.7659606933594,-49.64671325683594,-57.7929573059082,287.4325866699219
21500,86.02622985839844,90.11980438232422,63.0,437.04534912109375,-47.87321090698242,-53.13065719604492,273.6391296386719
21600,92.22169494628906,101.5968017578125,268.0,451.22198486328125,-24.19670295715332,-27.877887725830078,251.06797790527344
21700,-176.0216827392578,-246.87440490722656,458.0,451.22198486328125,-31.787952423095703,-38.82771301269531,261.4145812988281
21800,-29.688091278076172,-19.666765213012695,121.0,452.93829345703125,-28.461217880249023,-35.232784271240234,256.08416748046875
21900,-246.5544891357422,-260.2815246582031,270.0,459.00152587890625,-35.7364616394043,-41.788822174072266,258.2009582519531
22000,-107.90084838867188,-181.18453979492188,392.0,461.5309753417969,-39.34468078613281,-48.75860595703125,264.8908996582031
22100,292.9737854003906,333.3174743652344,149.0,466.3875732421875,-8.935504913330078,-13.443338394165039,247.16259765625
22200,172.3776092529297,210.48605346679688,212.0,467.98480224609375,12.149197578430176,11.173559188842773,236.67552185058594
22300,85.02627563476562,94.21649169921875,67.0,467.98480224609375,18.64846420288086,21.375463485717773,228.15966796875
22400,59.2999382019043,67.1557388305664,74.0,470.1222839355469,34.65669250488281,42.244319915771484,212.7940673828125
22500,-137.41651916503906,-211.02792358398438,422.0,470.1222839355469,26.053030014038086,29.580707550048828,223.25436401367188
22600,212.1256866455078,244.4580841064453,189.0,470.1222839355469,43.52614212036133,50.739990234375,213.16046142578125
22700,-179.4384765625,-159.032958984375,406.0,470.1222839355469,32.37791061401367,40.2513427734375,222.80242919921875
22800,-47.802120208740234,-38.6727409362793,128.0,470.1222839355469,28.939983367919922,39.27171325683594,220.58920288085938
22900,101.68267059326172,94.60673522949219,251.0,471.02490234375,36.44343185424805,47.985816955566406,222.1767578125
23000,34.822914123535156,41.29728317260742,96.0,471.02490234375,36.36240768432617,47.651390075683594,215.867919921875
23100,-128.67787170410156,-232.8892822265625,456.0,473.42333984375,21.63304901123047,25.272714614868164,235.19578552246094
